git [Time: 2024-04-22 04:17:39,856, File: weather.py:17, Function: get_weather] DEBUG -  Getting weather for 28348
[Time: 2024-04-22 04:42:52,292, File: _api.py:272, Function: acquire] DEBUG -  Lock 139870154040480 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/fc669fbad1a6a82119ca3e1fa75db33ee22ca47d.lock
[Time: 2024-04-22 04:42:52,342, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "GET /google/flan-t5-base/resolve/main/tokenizer.json HTTP/1.1" 200 2424064
[Time: 2024-04-22 04:42:52,551, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139870154040480 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/fc669fbad1a6a82119ca3e1fa75db33ee22ca47d.lock
[Time: 2024-04-22 04:42:52,552, File: _api.py:305, Function: release] DEBUG -  Lock 139870154040480 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/fc669fbad1a6a82119ca3e1fa75db33ee22ca47d.lock
[Time: 2024-04-22 04:42:52,767, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:42:52,768, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139873035247408 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d41e16cd4cd58621695da4f94132f516d07251af.lock
[Time: 2024-04-22 04:42:52,769, File: _api.py:272, Function: acquire] DEBUG -  Lock 139873035247408 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d41e16cd4cd58621695da4f94132f516d07251af.lock
[Time: 2024-04-22 04:42:52,862, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "GET /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 1404
[Time: 2024-04-22 04:42:52,865, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139873035247408 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d41e16cd4cd58621695da4f94132f516d07251af.lock
[Time: 2024-04-22 04:42:52,865, File: _api.py:305, Function: release] DEBUG -  Lock 139873035247408 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d41e16cd4cd58621695da4f94132f516d07251af.lock
[Time: 2024-04-22 04:42:52,911, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:42:52,958, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/model.safetensors HTTP/1.1" 302 0
[Time: 2024-04-22 04:42:52,960, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139870154302576 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/1dfb70afdcedceb9f9fae2f9b68e004ad934361fb35b9b2bd50b45ea90790fc8.lock
[Time: 2024-04-22 04:42:52,961, File: _api.py:272, Function: acquire] DEBUG -  Lock 139870154302576 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/1dfb70afdcedceb9f9fae2f9b68e004ad934361fb35b9b2bd50b45ea90790fc8.lock
[Time: 2024-04-22 04:42:52,995, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://cdn-lfs.huggingface.co:443 "GET /repos/bf/6f/bf6f650b464b29d0010bd25d18d9ebb545383704c670af1fcceac81468c7d8c3/1dfb70afdcedceb9f9fae2f9b68e004ad934361fb35b9b2bd50b45ea90790fc8?response-content-disposition=attachment%3B+filename*%3DUTF-8%27%27model.safetensors%3B+filename%3D%22model.safetensors%22%3B&Expires=1714032482&Policy=eyJTdGF0ZW1lbnQiOlt7IkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTcxNDAzMjQ4Mn19LCJSZXNvdXJjZSI6Imh0dHBzOi8vY2RuLWxmcy5odWdnaW5nZmFjZS5jby9yZXBvcy9iZi82Zi9iZjZmNjUwYjQ2NGIyOWQwMDEwYmQyNWQxOGQ5ZWJiNTQ1MzgzNzA0YzY3MGFmMWZjY2VhYzgxNDY4YzdkOGMzLzFkZmI3MGFmZGNlZGNlYjlmOWZhZTJmOWI2OGUwMDRhZDkzNDM2MWZiMzViOWIyYmQ1MGI0NWVhOTA3OTBmYzg~cmVzcG9uc2UtY29udGVudC1kaXNwb3NpdGlvbj0qIn1dfQ__&Signature=DhIUnEwBxc1N1WEnWzjsnFufPy905JLL8eKHFJBgoqR5f33urdDe6g6siQ3ecyUUw5lXPVA0GGOZv~JsWTOtAeMSg0bpDB6L9moa9~CU9DZj36tTX59T4F4jxOeEta5Dl6eVgnUM6bvwx6UYFXS1UVe3lXuumfL-rC8BY2KyW8EgQ-oxrc23lwNm~ltLCw3fNjpq1dEfon4D~qfKeLnf1K04Ivz8Ggr~QqMukMV1-SU6pAvtS-2AIJcgf1d4MDCtlxFa6hsfurYqOWgbx6y~B9kgPo5FXh-f9rLwmFYCBMewvtGrqwRwWwvpDxa~2kcw2MvlElZV~W6SrNObITLSOA__&Key-Pair-Id=KVTP0A1DKRTAX HTTP/1.1" 200 990345061
[Time: 2024-04-22 04:43:19,490, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139870154302576 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/1dfb70afdcedceb9f9fae2f9b68e004ad934361fb35b9b2bd50b45ea90790fc8.lock
[Time: 2024-04-22 04:43:19,490, File: _api.py:305, Function: release] DEBUG -  Lock 139870154302576 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/1dfb70afdcedceb9f9fae2f9b68e004ad934361fb35b9b2bd50b45ea90790fc8.lock
[Time: 2024-04-22 04:43:20,560, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/generation_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:43:20,561, File: _api.py:269, Function: acquire] DEBUG -  Attempting to acquire lock 139870154045616 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d52815623b46b7db1c4b957b5a83a8ad30b0146a.lock
[Time: 2024-04-22 04:43:20,562, File: _api.py:272, Function: acquire] DEBUG -  Lock 139870154045616 acquired on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d52815623b46b7db1c4b957b5a83a8ad30b0146a.lock
[Time: 2024-04-22 04:43:20,620, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "GET /google/flan-t5-base/resolve/main/generation_config.json HTTP/1.1" 200 147
[Time: 2024-04-22 04:43:20,622, File: _api.py:302, Function: release] DEBUG -  Attempting to release lock 139870154045616 on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d52815623b46b7db1c4b957b5a83a8ad30b0146a.lock
[Time: 2024-04-22 04:43:20,622, File: _api.py:305, Function: release] DEBUG -  Lock 139870154045616 released on /home/kendrachauntell/.cache/huggingface/hub/.locks/models--google--flan-t5-base/d52815623b46b7db1c4b957b5a83a8ad30b0146a.lock
[Time: 2024-04-22 04:43:58,225, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): huggingface.co:443
[Time: 2024-04-22 04:43:58,670, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:43:58,878, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:43:58,935, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:43:59,562, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/generation_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:45:56,224, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): huggingface.co:443
[Time: 2024-04-22 04:45:56,738, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:45:56,954, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:45:57,000, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:45:57,721, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/generation_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:46:15,868, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): huggingface.co:443
[Time: 2024-04-22 04:46:16,003, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/tokenizer_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:46:16,642, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:46:16,700, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/config.json HTTP/1.1" 200 0
[Time: 2024-04-22 04:46:17,713, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://huggingface.co:443 "HEAD /google/flan-t5-base/resolve/main/generation_config.json HTTP/1.1" 200 0
[Time: 2024-04-22 05:53:18,102, File: _internal.py:96, Function: _log] INFO -  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
[Time: 2024-04-22 05:53:18,102, File: _internal.py:96, Function: _log] INFO -  [33mPress CTRL+C to quit[0m
[Time: 2024-04-22 05:53:18,103, File: _internal.py:96, Function: _log] INFO -   * Restarting with stat
[Time: 2024-04-22 05:53:18,276, File: _internal.py:96, Function: _log] WARNING -   * Debugger is active!
[Time: 2024-04-22 05:53:18,280, File: _internal.py:96, Function: _log] INFO -   * Debugger PIN: 135-019-383
[Time: 2024-04-22 05:53:23,283, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:53:23] "[33mGET / HTTP/1.1[0m" 404 -
[Time: 2024-04-22 05:53:23,653, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:53:23] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[Time: 2024-04-22 05:53:26,978, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:53:26] "[33mGET / HTTP/1.1[0m" 404 -
[Time: 2024-04-22 05:53:27,097, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:53:27] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[Time: 2024-04-22 05:54:56,159, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:54:56] "[35m[1mGET /get_weather HTTP/1.1[0m" 500 -
[Time: 2024-04-22 05:54:56,240, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:54:56] "GET /get_weather?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[Time: 2024-04-22 05:54:56,240, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:54:56] "GET /get_weather?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[Time: 2024-04-22 05:54:56,343, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:54:56] "GET /get_weather?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[Time: 2024-04-22 05:55:33,906, File: weather.py:17, Function: get_weather] DEBUG -  Getting weather for 28306
[Time: 2024-04-22 05:55:33,909, File: connectionpool.py:1055, Function: _new_conn] DEBUG -  Starting new HTTPS connection (1): us-weather-by-zip-code.p.rapidapi.com:443
[Time: 2024-04-22 05:55:34,415, File: connectionpool.py:549, Function: _make_request] DEBUG -  https://us-weather-by-zip-code.p.rapidapi.com:443 "GET /getweatherzipcode?zip=28306 HTTP/1.1" 200 352
[Time: 2024-04-22 05:55:34,416, File: weather.py:14, Function: __init__] INFO -  Weather for 28306 retrieved
[Time: 2024-04-22 05:55:34,417, File: weather.py:30, Function: humidity_level] DEBUG -  Humidity requested for 28306
[Time: 2024-04-22 05:55:34,417, File: weather.py:34, Function: temperature] DEBUG -  Temperature requested for 28306
[Time: 2024-04-22 05:55:34,419, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 05:55:34] "GET /get_weather/28306 HTTP/1.1" 200 -
[Time: 2024-04-22 06:05:55,722, File: _internal.py:96, Function: _log] INFO -  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
[Time: 2024-04-22 06:05:55,722, File: _internal.py:96, Function: _log] INFO -  [33mPress CTRL+C to quit[0m
[Time: 2024-04-22 06:05:55,723, File: _internal.py:96, Function: _log] INFO -   * Restarting with stat
[Time: 2024-04-22 06:05:57,018, File: _internal.py:96, Function: _log] WARNING -   * Debugger is active!
[Time: 2024-04-22 06:05:57,020, File: _internal.py:96, Function: _log] INFO -   * Debugger PIN: 135-019-383
[Time: 2024-04-22 06:06:00,523, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:06:00] "[35m[1mGET / HTTP/1.1[0m" 500 -
[Time: 2024-04-22 06:06:00,571, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:06:00] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[Time: 2024-04-22 06:06:00,572, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:06:00] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[Time: 2024-04-22 06:06:00,629, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:06:00] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[Time: 2024-04-22 06:06:00,671, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:06:00] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[Time: 2024-04-22 06:07:03,861, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:07:03] "[35m[1mGET / HTTP/1.1[0m" 500 -
[Time: 2024-04-22 06:07:03,897, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:07:03] "GET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[Time: 2024-04-22 06:07:03,899, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:07:03] "[36mGET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[Time: 2024-04-22 06:07:03,994, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:07:03] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[Time: 2024-04-22 06:08:54,163, File: _internal.py:96, Function: _log] INFO -  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8080
[Time: 2024-04-22 06:08:54,163, File: _internal.py:96, Function: _log] INFO -  [33mPress CTRL+C to quit[0m
[Time: 2024-04-22 06:08:54,165, File: _internal.py:96, Function: _log] INFO -   * Restarting with stat
[Time: 2024-04-22 06:08:55,480, File: _internal.py:96, Function: _log] WARNING -   * Debugger is active!
[Time: 2024-04-22 06:08:55,481, File: _internal.py:96, Function: _log] INFO -   * Debugger PIN: 135-019-383
[Time: 2024-04-22 06:08:58,109, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:08:58] "GET / HTTP/1.1" 200 -
[Time: 2024-04-22 06:08:58,149, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:08:58] "GET /script.js HTTP/1.1" 200 -
[Time: 2024-04-22 06:08:58,149, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:08:58] "GET /style.css HTTP/1.1" 200 -
[Time: 2024-04-22 06:08:58,159, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:08:58] "GET /weather-images.jpg HTTP/1.1" 200 -
[Time: 2024-04-22 06:09:58,560, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:09:58] "[36mGET / HTTP/1.1[0m" 304 -
[Time: 2024-04-22 06:09:58,607, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:09:58] "GET /style.css HTTP/1.1" 200 -
[Time: 2024-04-22 06:09:58,607, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:09:58] "[36mGET /script.js HTTP/1.1[0m" 304 -
[Time: 2024-04-22 06:09:58,651, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:09:58] "GET /weather-images.jpg HTTP/1.1" 200 -
[Time: 2024-04-22 06:11:22,968, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:11:22] "GET / HTTP/1.1" 200 -
[Time: 2024-04-22 06:14:08,786, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:14:08] "[36mGET / HTTP/1.1[0m" 304 -
[Time: 2024-04-22 06:14:08,849, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:14:08] "GET /style.css HTTP/1.1" 200 -
[Time: 2024-04-22 06:14:08,849, File: _internal.py:96, Function: _log] INFO -  127.0.0.1 - - [22/Apr/2024 06:14:08] "[36mGET /script.js HTTP/1.1[0m" 304 -
